short_name,long_name,age,nationality_name,player_positions,club_name,league_name,league_level,value_eur,wage_eur,release_clause_eur,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,preferred_foot,weak_foot,skill_moves,attacking_finishing,attacking_short_passing,attacking_crossing,skill_dribbling,skill_ball_control,mentality_vision,mentality_composure,power_stamina,power_strength,movement_acceleration,movement_sprint_speed,movement_agility,defending_marking_awareness,defending_standing_tackle,mentality_positioning,work_rate,body_type
I. Fetfatzidis,Ioannis Fetfatzidis,32,Greece,"CF, RW, ST",APOEL,1. Division,1.0,700000.0,500.0,1500000.0,66,66,1,72.0,60.0,68.0,73.0,32.0,49.0,Left,2,4,54,71,68,72,74,70,61.0,61,44,74,70,79,45,30,62,Medium/Medium,Normal (170-)
G. Imbula,Gilbert Gianelli Imbula Wanga,30,Congo DR,"CM, CDM",İstanbulspor,Super Lig,1.0,825000.0,5000.0,1600000.0,66,66,1,64.0,58.0,67.0,71.0,57.0,64.0,Left,2,4,51,72,62,71,72,66,75.0,44,75,63,65,70,54,61,64,Medium/Low,Normal (185+)
F. Carraro,Federico Carraro,31,Italy,"CDM, CM",FeralpiSalò,Serie B,2.0,600000.0,1000.0,930000.0,66,66,1,75.0,60.0,67.0,72.0,62.0,65.0,Right,4,3,55,70,59,74,71,67,70.0,67,66,77,73,73,67,58,53,Medium/High,Normal (170-185)
Ivo Pinto,Ivo Daniel Ferreira Mendonça Pinto,33,Portugal,"RB, CB, LB",Fortuna Sittard,Eredivisie,1.0,450000.0,4000.0,653000.0,66,66,1,76.0,46.0,59.0,64.0,62.0,70.0,Right,3,2,38,62,62,62,64,54,63.0,69,71,76,76,70,63,63,54,Medium/Medium,Normal (170-185)
M. Cestor,Mike Botuli Cestor,31,Congo DR,CB,Radomiak Radom,Ekstraklasa,1.0,575000.0,2000.0,776000.0,66,66,1,77.0,25.0,46.0,47.0,64.0,76.0,Left,3,2,20,50,54,36,50,38,55.0,69,82,72,81,66,65,62,35,Medium/Medium,Normal (170-185)
M. Gillespie,Mark Gillespie,31,England,GK,Newcastle United,Premier League,1.0,450000.0,17000.0,855000.0,66,66,1,,,,,,,Right,3,1,16,34,13,17,29,42,50.0,25,66,34,35,37,12,11,11,Medium/Medium,Normal (185+)
S. Bain,Scott Bain,31,Scotland,GK,Celtic,Premiership,1.0,450000.0,10000.0,810000.0,66,66,1,,,,,,,Right,3,1,12,52,16,13,40,62,59.0,30,66,50,52,65,17,11,14,Medium/Medium,Normal (170-185)
J. McEachran,Joshua Mark McEachran,30,England,"CDM, CM",Oxford United,League One,3.0,725000.0,4000.0,1300000.0,66,66,1,52.0,51.0,67.0,67.0,62.0,54.0,Left,3,3,45,70,66,65,66,66,66.0,62,49,51,52,77,63,65,56,Medium/Medium,Lean (170-185)
A. Halliday,Andrew William Halliday,31,Scotland,"LB, CM",Hearts,Premiership,1.0,625000.0,3000.0,1100000.0,66,66,1,61.0,61.0,64.0,65.0,64.0,71.0,Left,3,2,61,68,64,62,66,59,67.0,80,64,63,60,71,66,68,54,Medium/Medium,Lean (170-185)
Kim Bo Kyung,김보경 金甫炅,33,Korea Republic,"CM, CAM, RM",Suwon Bluewings,K League 1,1.0,525000.0,2000.0,656000.0,66,66,1,71.0,59.0,67.0,69.0,55.0,65.0,Left,4,3,55,67,63,67,71,71,72.0,74,64,70,72,74,50,57,67,High/Medium,Normal (170-185)
Kim Tae Hwan,김태환 金泰万,33,Korea Republic,"RB, RWB",Ulsan,K League 1,1.0,450000.0,3000.0,585000.0,66,66,1,83.0,51.0,57.0,64.0,57.0,77.0,Right,3,3,47,59,60,59,66,55,57.0,78,76,82,84,79,54,58,59,High/High,Normal (170-185)
R. Allsop,Ryan Allsop,31,England,GK,Hull City,Championship,2.0,450000.0,4000.0,855000.0,66,66,1,,,,,,,Right,3,1,11,48,15,12,26,53,40.0,37,55,42,42,48,17,11,10,Medium/Medium,Normal (185+)
L. Hinterseer,Lukas Hinterseer,32,Austria,ST,Hansa Rostock,2. Bundesliga,2.0,700000.0,5000.0,1100000.0,66,66,1,34.0,67.0,62.0,65.0,40.0,73.0,Right,3,3,64,67,61,66,68,64,66.0,66,81,35,34,58,44,33,67,Medium/Low,Normal (185+)
B. Bodin,Billy Paul Bodin,31,Wales,"CAM, LM, RM",Oxford United,League One,3.0,700000.0,4000.0,1200000.0,66,66,1,73.0,64.0,63.0,69.0,46.0,57.0,Left,4,3,65,63,65,68,68,65,65.0,64,59,74,73,75,50,46,59,Medium/Medium,Normal (170-185)
B. Douglas,Barry James Douglas,33,Scotland,LB,Lech Poznań,Ekstraklasa,1.0,450000.0,3000.0,630000.0,66,66,1,62.0,64.0,69.0,67.0,63.0,60.0,Left,3,3,60,68,72,64,69,67,70.0,60,55,60,64,70,63,63,67,Medium/Medium,Normal (170-185)
T. Melia,Tim Melia,37,United States,GK,Sporting Kansas City,Major League Soccer,1.0,90000.0,1000.0,135000.0,66,66,1,,,,,,,Right,2,1,20,45,20,17,29,48,53.0,42,67,39,33,40,15,15,18,Medium/Medium,Normal (185+)
V. Eicher,Vitus Eicher,32,Germany,GK,Heidenheim,Bundesliga,1.0,425000.0,6000.0,765000.0,66,66,1,,,,,,,Left,2,1,15,25,12,12,24,13,43.0,36,72,46,44,48,13,15,12,Medium/Medium,Normal (185+)
C. Piergianni,Carl Liam Piergianni,31,England,CB,Stevenage,League One,3.0,575000.0,3000.0,1000000.0,66,66,1,39.0,31.0,41.0,46.0,65.0,83.0,Left,3,2,28,49,31,42,46,38,53.0,77,91,44,34,52,66,65,33,Low/High,Stocky (185+)
K. Vinetot,Kévin Vinetot,35,France,CB,Südtirol,Serie B,2.0,230000.0,900.0,357000.0,66,66,1,54.0,40.0,45.0,46.0,67.0,71.0,Right,2,2,35,55,38,40,46,38,65.0,63,78,55,54,49,72,66,30,Low/High,Normal (185+)
J. Obita,Jordan John Obita,29,England,"LB, LWB",Hibernian,Premiership,1.0,750000.0,3000.0,1300000.0,66,66,1,65.0,58.0,64.0,64.0,62.0,74.0,Left,2,3,57,62,70,62,63,64,68.0,76,76,64,66,72,63,62,58,High/Medium,Lean (170-185)
J. Szumski,Jakub Szumski,31,Poland,GK,Samsunspor,Super Lig,1.0,450000.0,3000.0,900000.0,66,66,1,,,,,,,Right,3,1,12,13,13,11,12,58,16.0,24,58,21,23,42,14,13,13,Medium/Medium,Lean (185+)
R. Janicki,Rafał Janicki,30,Poland,CB,Górnik Zabrze,Ekstraklasa,1.0,700000.0,2000.0,945000.0,66,66,1,44.0,35.0,52.0,48.0,66.0,73.0,Right,2,2,27,63,46,48,49,40,46.0,60,80,39,48,38,68,66,40,Medium/Medium,Normal (185+)
R. Morrison,Ravel Morrison,30,Jamaica,"CAM, CM",DC United,Major League Soccer,1.0,825000.0,3000.0,1200000.0,66,66,1,67.0,62.0,67.0,69.0,46.0,53.0,Right,4,4,61,68,65,69,69,68,68.0,51,49,67,67,71,50,48,65,Medium/Low,Lean (170-185)
Y. Qasmi,Yacine Qasmi,32,Morocco,ST,SD Eibar,La Liga 2,2.0,700000.0,4000.0,1100000.0,66,66,1,55.0,67.0,48.0,63.0,30.0,71.0,Left,4,3,68,56,42,61,66,48,65.0,51,82,51,59,63,12,28,75,Medium/Low,Normal (170-185)
R. Lopes,Roberto Lopes,31,Cape Verde Islands,CB,Shamrock Rovers,Premier Division,1.0,575000.0,1000.0,891000.0,66,66,1,47.0,29.0,46.0,51.0,67.0,75.0,Right,2,2,23,54,43,50,52,38,52.0,70,79,48,46,48,68,66,45,Low/High,Normal (170-185)
J. Cousins,Jordan Paul Cousins,29,Jamaica,CDM,Cambridge United,League One,3.0,725000.0,3000.0,1300000.0,66,66,1,69.0,50.0,59.0,66.0,61.0,68.0,Right,3,3,43,67,50,62,68,60,64.0,70,67,68,70,76,63,63,59,Low/High,Normal (170-185)
W. Chalá,Walter Leodán Chalá Vásquez,31,Ecuador,"RM, ST, LM",LDU Quito,Liga Pro,1.0,700000.0,500.0,1500000.0,66,66,1,82.0,66.0,59.0,66.0,37.0,64.0,Right,3,3,65,63,61,66,63,60,59.0,55,71,81,83,78,39,22,67,Medium/Medium,Lean (170-185)
J. Williams,Josh Williams,35,United States,CB,Columbus Crew,Major League Soccer,1.0,230000.0,2000.0,334000.0,66,66,1,54.0,46.0,58.0,57.0,65.0,73.0,Right,3,2,39,66,51,55,57,49,64.0,59,80,51,57,55,67,63,44,Medium/Medium,Stocky (185+)
C. Sapong,Charles Kwabena Sapong,34,United States,ST,Toronto,Major League Soccer,1.0,425000.0,3000.0,616000.0,66,66,1,65.0,65.0,58.0,62.0,40.0,80.0,Right,3,3,68,60,59,64,64,62,65.0,74,84,67,63,54,28,46,64,Medium/Medium,Normal (185+)
B. Wood,Bobby Shou Wood,30,United States,ST,New England,Major League Soccer,1.0,850000.0,3000.0,1300000.0,66,66,1,75.0,67.0,57.0,66.0,27.0,67.0,Right,3,3,66,62,62,65,65,40,59.0,59,73,75,75,74,18,20,59,Medium/Medium,Stocky (170-185)
C. Wernitznig,Christopher Wernitznig,33,Austria,"RWB, RM, CM",Austria Klagenfurt,Bundesliga,1.0,450000.0,3000.0,653000.0,66,66,1,67.0,65.0,65.0,65.0,62.0,70.0,Right,4,3,60,65,66,63,65,66,68.0,71,70,69,65,70,62,62,67,High/Medium,Normal (170-185)
C. Râpă,Cornel Emilian Râpă,33,Romania,"RWB, CB, RM",Cracovia Kraków,Ekstraklasa,1.0,450000.0,3000.0,608000.0,66,66,1,73.0,49.0,61.0,59.0,58.0,70.0,Right,3,2,41,67,64,56,58,55,55.0,86,65,73,73,68,57,60,41,High/Medium,Normal (170-185)
C. Ripley,Connor Ripley,30,England,GK,Port Vale,League One,3.0,575000.0,2000.0,1000000.0,66,66,1,,,,,,,Right,3,1,11,33,11,11,23,45,33.0,21,80,26,28,24,14,12,12,Medium/Medium,Stocky (185+)
A. Öztürk,Alpaslan Öztürk,29,Turkey,"CB, CDM",Pendikspor,Super Lig,1.0,725000.0,4000.0,1500000.0,66,66,1,61.0,53.0,51.0,58.0,62.0,79.0,Right,3,3,43,58,56,58,55,34,60.0,79,80,55,65,62,61,63,56,Medium/Medium,Stocky (185+)
R. Riski,Roope Riski,31,Finland,ST,HJK,Veikkausliiga,1.0,725000.0,500.0,1600000.0,66,66,1,81.0,66.0,53.0,66.0,41.0,58.0,Right,4,3,69,55,57,63,65,48,57.0,66,58,82,80,79,36,41,68,High/Low,Lean (170-185)
J. Vela,Joshua James Vela,29,England,"CM, CDM",Fleetwood Town,League One,3.0,825000.0,4000.0,1400000.0,66,66,1,62.0,60.0,64.0,65.0,62.0,81.0,Right,3,3,58,66,59,64,66,66,67.0,92,74,65,59,63,64,64,63,High/High,Normal (170-185)
J. Jeggo,James Alexander Jeggo,31,Australia,"CDM, CM",Hibernian,Premiership,1.0,600000.0,3000.0,1100000.0,66,66,1,67.0,58.0,60.0,64.0,62.0,69.0,Right,2,2,55,64,53,61,65,60,62.0,83,62,66,67,70,66,64,59,Medium/High,Lean (170-185)
E. Harrison,Ellis Wade Harrison,29,Wales,ST,Milton Keynes Dons,League Two,4.0,850000.0,7000.0,1500000.0,66,66,1,79.0,64.0,54.0,65.0,42.0,80.0,Right,4,3,65,58,55,64,63,54,65.0,75,82,78,79,74,35,42,64,High/High,Normal (170-185)
J. Brillante,Joshua Brillante,30,Australia,"CDM, CM",Western Sydney Wanderers,A-League,1.0,725000.0,3000.0,906000.0,66,66,1,55.0,56.0,62.0,63.0,63.0,81.0,Right,3,3,51,62,62,61,62,63,60.0,93,82,59,51,70,62,63,55,Medium/High,Normal (170-185)
E. Gnahoré,Vhakka Eddy Stelh Gnahoré,29,France,"CDM, CM",Ascoli,Serie B,2.0,725000.0,2000.0,1100000.0,66,66,1,55.0,64.0,64.0,66.0,63.0,76.0,Right,3,3,62,65,61,67,67,64,64.0,70,83,58,53,59,66,63,65,Low/High,Lean (185+)
D. Williams,Derrick Williams,30,Republic of Ireland,CB,DC United,Major League Soccer,1.0,700000.0,2000.0,1000000.0,66,66,1,66.0,46.0,58.0,62.0,63.0,77.0,Left,2,2,40,67,56,63,63,50,66.0,75,80,66,66,60,63,62,53,Low/High,Normal (170-185)
I. Diomandé,Ismaël Tiémoko Diomandé,30,Côte d'Ivoire,"CDM, CB",Petrolul 52,Liga 1,1.0,725000.0,2000.0,979000.0,66,66,1,61.0,53.0,61.0,63.0,64.0,72.0,Right,3,3,47,68,59,62,64,57,69.0,70,72,57,65,61,64,65,32,Medium/Medium,Stocky (170-185)
A. Ajeti,Arlind Ajeti,29,Albania,CB,CFR Cluj,Liga 1,1.0,725000.0,5000.0,979000.0,66,66,1,61.0,35.0,51.0,52.0,64.0,74.0,Right,1,2,28,57,50,45,56,45,55.0,64,81,59,62,51,62,64,36,Low/Medium,Normal (170-185)
F. Veseli,Frédéric Veseli,30,Albania,"CB, RB",Fatih Karagümrük,Super Lig,1.0,700000.0,7000.0,1400000.0,66,66,1,67.0,41.0,55.0,64.0,66.0,66.0,Right,3,2,39,64,56,62,65,42,66.0,58,69,66,68,68,68,64,42,Medium/High,Normal (170-185)
L. Fariña,Luis Carlos Fariña Olivera,32,Argentina,"LM, CAM",Guaraní,Primera División,1.0,675000.0,500.0,1500000.0,66,66,1,70.0,66.0,63.0,68.0,47.0,49.0,Right,3,4,67,62,65,72,67,65,49.0,35,57,67,73,73,41,50,65,Medium/Medium,Normal (170-185)
A. Sauvage,Alexis Sauvage,31,France,GK,Amiens SC,Ligue 2,2.0,450000.0,2000.0,788000.0,66,66,1,,,,,,,Right,3,1,9,20,9,10,24,26,45.0,34,71,45,43,41,11,11,13,Medium/Medium,Normal (185+)
C. Edwards,Curtis Garry Edwards,29,England,CM,Stabæk,Eliteserien,1.0,825000.0,1000.0,1000000.0,66,66,1,47.0,64.0,67.0,65.0,58.0,69.0,Right,4,3,59,65,68,62,64,69,64.0,81,62,47,47,77,60,59,66,Medium/Medium,Lean (170-185)
C. Forsyth,Craig Forsyth,34,Scotland,"CB, LB, LWB",Derby County,League One,3.0,275000.0,4000.0,481000.0,66,66,1,52.0,57.0,62.0,62.0,68.0,66.0,Left,2,2,53,64,64,62,65,59,66.0,68,69,49,54,48,69,68,56,Medium/High,Normal (185+)
M. Smith,Michael Smith,34,Northern Ireland,"RB, RWB, CB",,,,,,,66,66,1,56.0,45.0,62.0,64.0,64.0,72.0,Right,3,2,44,67,66,64,63,56,65.0,72,74,58,55,62,66,67,55,Medium/Medium,Lean (170-185)
P. Breier,Pascal Breier,31,Germany,"LM, ST",VfB Lübeck,3. Liga,3.0,700000.0,1000.0,1000000.0,66,66,1,72.0,63.0,59.0,67.0,33.0,69.0,Right,3,3,65,60,60,67,68,57,61.0,75,70,70,74,67,30,29,62,Medium/Medium,Lean (185+)
S. Khelifi,Salim Khelifi,29,Tunisia,"RWB, RM, LM",Perth Glory,A-League,1.0,750000.0,2000.0,938000.0,66,66,1,77.0,57.0,61.0,69.0,60.0,46.0,Right,3,3,58,62,62,70,64,62,62.0,64,34,78,76,84,64,60,60,High/Medium,Lean (170-185)
J. Blackman,Jamal Blackman,29,England,GK,Burton Albion,League One,3.0,575000.0,2000.0,1000000.0,66,66,1,,,,,,,Right,2,1,19,37,13,14,19,29,40.0,25,69,23,29,42,17,13,10,Medium/Medium,Normal (185+)
Ruben Bover,Rubén Bover Izquierdo,31,Spain,"CM, LM, CAM",FC Andorra,La Liga 2,2.0,700000.0,3000.0,1100000.0,66,66,1,70.0,65.0,66.0,69.0,48.0,50.0,Left,3,3,66,68,63,68,69,64,58.0,62,45,72,69,76,28,64,65,High/Medium,Lean (170-185)
J. Gómez,Jesús Javier Gómez Mercado,38,Venezuela,"CAM, RM, LM",Estudiantes Mérida,Primera Division,1.0,275000.0,500.0,591000.0,66,66,1,67.0,70.0,67.0,66.0,54.0,48.0,Right,3,4,70,69,64,69,62,64,58.0,56,45,66,68,67,45,65,65,Medium/Low,Normal (170-)
J. Archer,Jordan Gideon Archer,30,Scotland,GK,Queens Park Rangers,Championship,2.0,575000.0,4000.0,1100000.0,66,66,1,,,,,,,Right,2,1,16,30,15,20,24,31,38.0,27,57,43,42,50,15,18,11,Medium/Medium,Normal (185+)
V. Celjak,Vedran Celjak,31,Croatia,"RWB, CB, RB",Lecco,Serie B,2.0,625000.0,1000.0,969000.0,66,66,1,71.0,32.0,56.0,53.0,65.0,65.0,Right,2,2,25,65,60,50,50,40,65.0,68,64,72,70,65,70,68,49,High/Medium,Normal (185+)
L. Krajnc,Luka Krajnc,28,Slovenia,"CB, LB",Catanzaro,Serie B,2.0,725000.0,1000.0,1100000.0,66,66,1,60.0,32.0,50.0,59.0,65.0,74.0,Left,3,2,25,63,51,56,62,31,64.0,65,81,56,64,59,64,66,46,Medium/Medium,Normal (185+)
C. McGeehan,Cameron Alexander McGeehan,28,Northern Ireland,CM,Colchester United,League Two,4.0,850000.0,4000.0,1500000.0,66,66,1,67.0,63.0,62.0,66.0,61.0,73.0,Right,3,3,62,67,51,64,66,65,64.0,75,70,67,67,73,60,63,62,Medium/Medium,Normal (170-185)
D. Cole,Devante Lavon Andrew Cole,28,England,ST,Barnsley,League One,3.0,875000.0,5000.0,1500000.0,66,66,1,88.0,64.0,52.0,65.0,26.0,61.0,Right,3,2,67,57,52,65,63,57,57.0,75,64,85,90,77,22,25,66,Medium/Low,Lean (185+)
O. Norburn,Oliver Lewis Norburn,30,Grenada,"CM, CDM",Blackpool,League One,3.0,825000.0,4000.0,1400000.0,66,66,1,70.0,61.0,65.0,66.0,64.0,75.0,Right,3,3,58,67,62,65,66,65,69.0,77,75,63,75,73,64,65,60,Medium/High,Normal (185+)
C. Vincent,Christophe Vincent,30,France,"CM, RW",Bastia,Ligue 2,2.0,825000.0,2000.0,1400000.0,66,66,1,67.0,50.0,65.0,67.0,58.0,67.0,Right,3,2,51,72,60,65,67,70,65.0,77,64,61,71,73,57,63,61,Medium/Medium,Lean (170-185)
César,César Bernardo Dutra,31,Brazil,GK,Boavista,Liga Portugal,1.0,450000.0,3000.0,945000.0,66,66,1,,,,,,,Right,2,1,16,24,14,20,18,21,28.0,26,65,40,41,30,21,17,18,Medium/Medium,Normal (185+)
R. Buess,Roman Buess,30,Switzerland,ST,Winterthur,Super League,1.0,850000.0,3000.0,1200000.0,66,66,1,76.0,67.0,63.0,63.0,42.0,72.0,Left,4,2,67,64,60,61,61,69,60.0,80,73,78,74,70,27,52,72,Low/High,Normal (170-185)
J. Holt,Jason Derek Holt,30,Scotland,"CDM, CM",Livingston,Premiership,1.0,725000.0,2000.0,1300000.0,66,66,1,71.0,59.0,61.0,66.0,61.0,55.0,Right,4,3,58,68,52,60,65,62,62.0,80,37,79,65,86,59,65,60,High/High,Normal (170-)
I. Neagu,Ionuț Neagu,33,Romania,"CDM, CM",Oțelul Galați,Liga 1,1.0,425000.0,3000.0,574000.0,66,66,1,74.0,59.0,62.0,67.0,63.0,67.0,Right,2,3,56,70,53,65,70,58,59.0,70,63,76,73,68,57,68,50,Medium/Medium,Normal (170-185)
Felipe,Felipe Martins Campanholi,32,Brazil,"CDM, CM",Orlando City,Major League Soccer,1.0,575000.0,2000.0,863000.0,66,66,1,47.0,64.0,69.0,67.0,59.0,70.0,Right,4,3,60,70,65,66,68,68,68.0,70,70,54,41,67,62,62,60,Low/Medium,Normal (170-)
J. Lynch,Jay Anthony Lynch,30,England,GK,Fleetwood Town,League One,3.0,575000.0,3000.0,1000000.0,66,66,1,,,,,,,Right,3,1,15,50,18,12,23,48,32.0,39,65,42,40,64,16,11,15,Medium/Medium,Normal (185+)
R. Gaddis,Raymon Gaddis,33,United States,"RB, RM",Cincinnati,Major League Soccer,1.0,450000.0,2000.0,675000.0,66,66,1,66.0,29.0,52.0,63.0,65.0,63.0,Right,4,2,27,59,54,63,58,43,53.0,71,59,64,67,75,67,67,57,Medium/High,Normal (170-185)
S. Sandberg,Simon Sandberg,29,Sweden,"RB, CB",Häcken,Allsvenskan,1.0,750000.0,2000.0,975000.0,66,66,1,70.0,43.0,59.0,60.0,62.0,72.0,Right,3,2,41,60,65,57,60,55,61.0,80,73,68,72,66,64,61,56,High/Medium,Lean (185+)
L. Zuta,Leonard Zuta,30,North Macedonia,"LWB, LB, CB",Brommapojkarna,Allsvenskan,1.0,725000.0,1000.0,906000.0,66,66,1,74.0,49.0,60.0,62.0,61.0,70.0,Left,3,2,45,62,61,60,62,59,58.0,71,68,73,74,69,60,63,45,Medium/Medium,Lean (170-185)
E. Jordanov,Edisson Jordanov,30,Bulgaria,"RB, RWB",Westerlo,Jupiler Pro League,1.0,725000.0,4000.0,1100000.0,66,66,1,70.0,53.0,62.0,69.0,62.0,56.0,Right,3,3,49,65,64,66,66,58,71.0,69,45,75,65,83,65,63,58,Medium/Medium,Normal (170-185)
J. Guthrie,Jonathan Neil Guthrie,30,England,CB,Northampton Town,League One,3.0,700000.0,3000.0,1200000.0,66,66,1,49.0,34.0,50.0,50.0,65.0,81.0,Left,3,2,28,54,45,50,55,51,53.0,81,87,51,48,33,65,65,44,Low/Medium,Normal (185+)
I. Filip,Ioan Constantin Filip,34,Romania,"CDM, CB, CM",Universitatea Cluj,Liga 1,1.0,300000.0,2000.0,405000.0,66,66,1,42.0,41.0,58.0,58.0,63.0,73.0,Right,2,2,40,67,46,58,60,64,64.0,74,75,36,47,49,65,63,43,Low/High,Lean (185+)
Y. van Nieff,Yoëll van Nieff,30,Netherlands,"CDM, CM",Mumbai City,Super League,1.0,725000.0,1000.0,979000.0,66,66,1,42.0,64.0,69.0,65.0,63.0,69.0,Left,3,3,54,66,74,66,64,63,62.0,64,73,46,39,65,63,65,49,Medium/Medium,Normal (170-185)
D. Henen,David Boris Philippe Henen,27,Togo,"RM, LM",Kortrijk,Jupiler Pro League,1.0,900000.0,5000.0,1300000.0,66,66,1,76.0,66.0,58.0,67.0,26.0,64.0,Right,4,3,65,60,65,67,68,52,64.0,63,71,73,79,73,19,24,67,Medium/Medium,Lean (185+)
C. Matei,Cosmin Gabriel Matei,31,Romania,"CAM, LM",Sepsi,Liga 1,1.0,700000.0,4000.0,945000.0,66,66,1,62.0,64.0,66.0,67.0,54.0,60.0,Right,3,3,62,68,65,68,66,68,63.0,61,57,66,58,67,48,60,65,Medium/Medium,Normal (170-185)
O. Hawsawi,Omar Ibrahim Omar Othman Hawsawi,37,Saudi Arabia,CB,Al Ittihad,Pro League,1.0,150000.0,7000.0,240000.0,66,66,1,46.0,29.0,43.0,46.0,64.0,77.0,Right,2,2,20,60,26,41,44,36,50.0,62,85,44,47,65,64,62,45,Low/High,Normal (185+)
B. O'Neill,Brandon O'Neill,29,Australia,"CDM, CM",Newcastle Jets,A-League,1.0,725000.0,1000.0,906000.0,66,66,1,57.0,59.0,63.0,63.0,61.0,73.0,Right,4,3,57,65,59,59,63,64,65.0,82,71,56,57,69,59,62,61,Medium/High,Normal (170-185)
B. Turgott,Blair Sebastian Turgott,29,Jamaica,"ST, LW",Häcken,Allsvenskan,1.0,850000.0,3000.0,1100000.0,66,66,1,82.0,66.0,57.0,68.0,25.0,68.0,Right,3,3,68,58,59,68,65,58,67.0,73,69,81,82,79,22,22,67,High/Medium,Lean (170-185)
M. Marras,Manuel Marras,29,Italy,"CAM, RW, RM",Cosenza,Serie B,2.0,850000.0,1000.0,1300000.0,66,66,1,78.0,62.0,63.0,69.0,31.0,49.0,Left,4,3,64,65,62,68,66,65,55.0,80,34,81,75,85,29,28,60,Medium/Medium,Lean (170-)
D. Simani,Denis Simani,31,Albania,CB,Luzern,Super League,1.0,575000.0,3000.0,834000.0,66,66,1,48.0,55.0,51.0,50.0,64.0,78.0,Left,3,2,56,66,29,44,56,38,60.0,68,84,55,42,50,64,65,40,High/Medium,Normal (185+)
T. Meißner,Thomas Meißner,32,Germany,CB,Hansa Rostock,2. Bundesliga,2.0,550000.0,4000.0,853000.0,66,66,1,60.0,38.0,44.0,49.0,66.0,72.0,Right,3,2,31,57,32,44,53,35,62.0,64,79,54,65,38,67,67,20,Low/Medium,Lean (185+)
L. Verna,Luca Verna,30,Italy,CM,Catanzaro,Serie B,2.0,825000.0,1000.0,1300000.0,66,66,1,68.0,56.0,64.0,66.0,63.0,72.0,Right,4,2,53,70,54,66,67,65,64.0,75,74,67,69,65,65,63,58,High/High,Normal (170-185)
J. Busk,Jakob Busk Jensen,29,Denmark,GK,FC Union Berlin,Bundesliga,1.0,575000.0,7000.0,978000.0,66,66,1,,,,,,,Right,2,1,10,24,11,15,15,58,26.0,33,64,45,42,30,14,12,12,Medium/Medium,Normal (185+)
T. Pledl,Thomas Pledl,29,Germany,"RM, LM",MSV Duisburg,3. Liga,3.0,850000.0,1000.0,1200000.0,66,66,1,75.0,55.0,62.0,71.0,49.0,58.0,Right,4,3,56,62,63,69,68,66,58.0,69,51,77,74,90,45,50,59,Medium/Medium,Normal (170-185)
M. Duffy,Michael Duffy,28,Republic of Ireland,LM,Derry City,Premier Division,1.0,850000.0,1000.0,1300000.0,66,66,1,80.0,60.0,60.0,67.0,44.0,57.0,Right,4,4,60,62,61,67,65,60,61.0,70,55,80,80,77,36,47,60,Medium/Low,Normal (170-185)
N. Lomb,Niklas Lomb,29,Germany,GK,Bayer 04 Leverkusen,Bundesliga,1.0,575000.0,10000.0,978000.0,66,66,1,,,,,,,Right,3,1,17,26,15,14,20,27,37.0,40,68,38,39,47,16,12,5,Medium/Medium,Normal (185+)
F. Holst,Frederik Lucas Holst,28,Denmark,CM,UTA Arad,Liga 1,1.0,850000.0,3000.0,1100000.0,66,66,1,81.0,55.0,65.0,66.0,62.0,70.0,Right,3,2,55,69,64,63,67,62,66.0,84,63,82,80,74,65,60,63,Medium/Medium,Normal (170-185)
R. Fiamozzi,Riccardo Fiamozzi,30,Italy,RB,Reggiana,Serie B,2.0,725000.0,1000.0,1100000.0,66,66,1,73.0,49.0,58.0,62.0,59.0,71.0,Right,3,3,49,61,62,58,61,51,59.0,79,71,68,77,73,61,61,58,High/Medium,Normal (170-185)
A. Ateef,Abdullah Ibrahim Otayf,30,Saudi Arabia,CDM,Al Ahli Jeddah,Pro League,1.0,725000.0,9000.0,1200000.0,66,66,1,28.0,46.0,72.0,63.0,65.0,44.0,Right,3,2,41,73,70,60,69,75,74.0,29,50,27,28,61,69,65,65,Low/Medium,Lean (170-185)
Víctor Rodríguez,Víctor Rodríguez Romero,33,Spain,"LM, CAM, RM",Goa,Super League,1.0,525000.0,750.0,709000.0,66,66,1,69.0,65.0,66.0,68.0,41.0,56.0,Right,4,3,65,66,66,68,67,67,64.0,45,64,72,67,73,44,45,65,Medium/Medium,Normal (170-)
L. Woudenberg,Lucas Woudenberg,29,Netherlands,"LB, LWB",Valenciennes,Ligue 2,2.0,750000.0,2000.0,1300000.0,66,66,1,65.0,38.0,58.0,58.0,62.0,72.0,Left,2,2,35,62,62,57,57,50,66.0,90,63,68,63,65,62,62,58,High/High,Lean (185+)
R. Rodríguez,Ribair Rodríguez Pérez,35,Uruguay,"CDM, CB",Danubio,Primera Division,1.0,240000.0,500.0,516000.0,66,66,1,55.0,47.0,59.0,57.0,66.0,76.0,Right,2,2,30,66,53,56,60,54,66.0,60,84,53,57,48,60,68,53,Low/High,Normal (170-185)
P. Faragò,Paolo Pancrazio Faragò,30,Italy,"CM, RB, RWB",Como,Serie B,2.0,825000.0,2000.0,1300000.0,66,66,1,54.0,56.0,68.0,65.0,63.0,64.0,Right,3,3,56,71,72,66,70,67,70.0,59,64,57,51,49,68,62,69,Medium/High,Normal (185+)
