short_name,club_name,nationality_name,position_group,age,overall,potential,international_reputation,pace,shooting,passing,dribbling,defending,physic,weak_foot,skill_moves,value_eur,display_label
K. Lewis-Potter,Brentford,England,Forward,22,72,80,1,77.0,67.0,64.0,75.0,36.0,62.0,4,3,5500000.0,K. Lewis-Potter (Brentford)
B. Gilmour,Brighton & Hove Albion,Scotland,Midfielder,22,72,80,1,60.0,55.0,70.0,73.0,67.0,55.0,3,3,5000000.0,B. Gilmour (Brighton & Hove Albion)
E. Holm,Atalanta,Sweden,Defender,23,72,80,1,85.0,60.0,61.0,66.0,63.0,85.0,3,3,5000000.0,E. Holm (Atalanta)
Robert Navarro,Cádiz,Spain,Midfielder,21,72,80,1,74.0,67.0,68.0,74.0,34.0,63.0,3,4,5500000.0,Robert Navarro (Cádiz)
A. Seidu,Clermont,Ghana,Defender,23,72,80,1,59.0,37.0,60.0,67.0,75.0,58.0,3,2,4900000.0,A. Seidu (Clermont)
C. Özkacar,Valencia,Turkey,Defender,22,72,80,1,60.0,36.0,57.0,62.0,72.0,77.0,3,2,4900000.0,C. Özkacar (Valencia)
A. Álvarez Martínez,Sassuolo,Uruguay,Forward,22,72,80,1,69.0,72.0,61.0,68.0,36.0,68.0,3,2,5500000.0,A. Álvarez Martínez (Sassuolo)
V. Kristiansen,Bologna,Denmark,Defender,20,72,80,1,74.0,55.0,63.0,72.0,68.0,75.0,3,3,4900000.0,V. Kristiansen (Bologna)
C. Wooh,Rennes,Cameroon,Defender,21,72,80,1,68.0,45.0,57.0,61.0,71.0,75.0,3,2,4900000.0,C. Wooh (Rennes)
K. Doumbia,Brest,Mali,Midfielder,20,72,80,1,70.0,64.0,69.0,74.0,57.0,59.0,3,3,5000000.0,K. Doumbia (Brest)
L. Lucca,Udinese,Italy,Forward,22,72,80,1,64.0,72.0,59.0,63.0,32.0,80.0,3,2,5500000.0,L. Lucca (Udinese)
Álex Pozo,Almería,Spain,Defender,24,72,79,1,73.0,68.0,67.0,74.0,67.0,44.0,3,3,4500000.0,Álex Pozo (Almería)
J. Ponceau,Lorient,France,Midfielder,22,72,79,1,76.0,58.0,68.0,76.0,55.0,59.0,3,3,4800000.0,J. Ponceau (Lorient)
S. van Hooijdonk,Bologna,Netherlands,Forward,23,72,79,1,72.0,74.0,57.0,65.0,27.0,73.0,4,3,4700000.0,S. van Hooijdonk (Bologna)
A. Schäfer,FC Union Berlin,Hungary,Midfielder,24,72,79,1,72.0,61.0,67.0,73.0,64.0,64.0,4,3,4700000.0,A. Schäfer (FC Union Berlin)
L. Brassier,Brest,France,Defender,23,72,79,1,69.0,36.0,62.0,67.0,73.0,74.0,2,2,4400000.0,L. Brassier (Brest)
B. Brahimi,Brest,Algeria,Midfielder,23,72,79,1,76.0,70.0,68.0,74.0,29.0,69.0,3,3,4700000.0,B. Brahimi (Brest)
F. Jörgensen,Villarreal,Denmark,Goalkeeper,21,72,79,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,4100000.0,F. Jörgensen (Villarreal)
I. Moriba,RB Leipzig,Guinea,Midfielder,20,72,79,1,68.0,71.0,63.0,74.0,64.0,65.0,4,4,4600000.0,I. Moriba (RB Leipzig)
B. Locko,Brest,France,Defender,21,72,79,1,73.0,51.0,62.0,69.0,69.0,69.0,2,2,4500000.0,B. Locko (Brest)
D. O'Shea,Burnley,Republic of Ireland,Defender,24,72,78,1,61.0,33.0,55.0,57.0,73.0,74.0,3,2,3400000.0,D. O'Shea (Burnley)
A. Dossena,Cagliari,Italy,Defender,24,72,78,1,53.0,32.0,47.0,53.0,73.0,76.0,3,2,3400000.0,A. Dossena (Cagliari)
Jordi Mboula,Hellas Verona,Spain,Midfielder,24,72,78,1,87.0,69.0,63.0,75.0,32.0,66.0,4,3,3700000.0,Jordi Mboula (Hellas Verona)
S. Nsoki,TSG Hoffenheim,France,Defender,24,72,78,1,77.0,38.0,62.0,67.0,72.0,78.0,2,2,3400000.0,S. Nsoki (TSG Hoffenheim)
C. Klarer,Darmstadt 98,Austria,Defender,23,72,78,1,63.0,36.0,50.0,54.0,73.0,72.0,3,2,3400000.0,C. Klarer (Darmstadt 98)
P. Akouokou,Olympique Lyonnais,Côte d'Ivoire,Midfielder,25,72,78,1,56.0,56.0,68.0,70.0,71.0,63.0,2,2,3300000.0,P. Akouokou (Olympique Lyonnais)
V. Bondar,Shakhtar Donetsk,Ukraine,Defender,24,72,78,1,71.0,32.0,51.0,53.0,74.0,73.0,2,2,3400000.0,V. Bondar (Shakhtar Donetsk)
P. Osterhage,VfL Bochum 1848,Germany,Midfielder,23,72,78,1,76.0,54.0,66.0,72.0,70.0,72.0,3,3,3400000.0,P. Osterhage (VfL Bochum 1848)
A. Doughty,Luton Town,England,Defender,23,72,78,1,83.0,49.0,65.0,69.0,63.0,65.0,3,2,3500000.0,A. Doughty (Luton Town)
B. Ocampo,Cádiz,Uruguay,Midfielder,24,72,78,1,83.0,67.0,69.0,75.0,47.0,62.0,3,4,3700000.0,B. Ocampo (Cádiz)
A. Makoumbou,Cagliari,Congo,Midfielder,24,72,78,1,75.0,55.0,65.0,75.0,68.0,77.0,3,3,3400000.0,A. Makoumbou (Cagliari)
Jorge Meré,Cádiz,Spain,Defender,26,72,77,1,68.0,38.0,53.0,64.0,73.0,72.0,3,2,3100000.0,Jorge Meré (Cádiz)
E. Adebayo,Luton Town,England,Forward,25,72,77,1,74.0,71.0,50.0,69.0,45.0,80.0,3,3,3500000.0,E. Adebayo (Luton Town)
M. Leitsch,FSV Mainz 05,Germany,Defender,25,72,77,1,79.0,37.0,57.0,58.0,74.0,68.0,2,2,3100000.0,M. Leitsch (FSV Mainz 05)
H. Delcroix,Burnley,Belgium,Defender,24,72,77,1,70.0,33.0,61.0,62.0,72.0,70.0,2,2,3200000.0,H. Delcroix (Burnley)
L. Ranieri,Fiorentina,Italy,Defender,24,72,77,1,73.0,41.0,59.0,67.0,74.0,65.0,3,2,3200000.0,L. Ranieri (Fiorentina)
A. Terzić,Salzburg,Serbia,Defender,23,72,77,1,74.0,45.0,59.0,70.0,68.0,62.0,2,2,3300000.0,A. Terzić (Salzburg)
M. Guilavogui,Lens,Guinea,Forward,25,72,77,1,80.0,70.0,66.0,70.0,32.0,70.0,2,3,3500000.0,M. Guilavogui (Lens)
Juan Iglesias,Getafe,Spain,Defender,24,72,77,1,70.0,37.0,60.0,64.0,70.0,68.0,4,3,3300000.0,Juan Iglesias (Getafe)
W. Cheddira,Frosinone,Morocco,Forward,25,72,77,1,86.0,71.0,64.0,68.0,40.0,76.0,4,3,3500000.0,W. Cheddira (Frosinone)
T. Fosu-Mensah,Bayer 04 Leverkusen,Netherlands,Defender,25,72,76,1,74.0,60.0,64.0,65.0,73.0,76.0,3,3,3000000.0,T. Fosu-Mensah (Bayer 04 Leverkusen)
S. Van der Heyden,Mallorca,Belgium,Defender,25,72,76,1,58.0,34.0,57.0,53.0,73.0,74.0,3,2,2900000.0,S. Van der Heyden (Mallorca)
F. Müller,SC Freiburg,Germany,Goalkeeper,25,72,76,2,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2600000.0,F. Müller (SC Freiburg)
Y. Maleh,Empoli,Morocco,Midfielder,24,72,76,1,66.0,65.0,73.0,73.0,66.0,67.0,3,3,3300000.0,Y. Maleh (Empoli)
Jeong Woo Yeong,VfB Stuttgart,Korea Republic,Midfielder,23,72,76,1,77.0,62.0,67.0,78.0,36.0,63.0,4,4,3400000.0,Jeong Woo Yeong (VfB Stuttgart)
P. Köhn,Monaco,Switzerland,Goalkeeper,25,72,76,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2600000.0,P. Köhn (Monaco)
Josep Martínez,Genoa,Spain,Goalkeeper,25,72,76,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2600000.0,Josep Martínez (Genoa)
M. Camara,Brest,France,Midfielder,25,72,76,1,59.0,58.0,68.0,71.0,73.0,75.0,3,3,3200000.0,M. Camara (Brest)
L. Kilian,FC Köln,Germany,Defender,23,72,76,1,69.0,39.0,56.0,54.0,72.0,77.0,3,2,3000000.0,L. Kilian (FC Köln)
D. Boloca,Sassuolo,Romania,Midfielder,24,72,76,1,64.0,58.0,69.0,71.0,52.0,74.0,3,3,3300000.0,D. Boloca (Sassuolo)
M. Lowe,Sheffield United,England,Defender,26,72,75,1,80.0,46.0,63.0,73.0,69.0,67.0,3,3,2800000.0,M. Lowe (Sheffield United)
San Emeterio,Cádiz,Spain,Midfielder,26,72,75,1,54.0,67.0,67.0,67.0,72.0,76.0,3,2,3000000.0,San Emeterio (Cádiz)
M. Wieteska,Cagliari,Poland,Defender,26,72,75,1,57.0,37.0,48.0,56.0,73.0,76.0,3,2,2700000.0,M. Wieteska (Cagliari)
S. Bastoni,Empoli,Italy,Midfielder,26,72,75,1,68.0,58.0,71.0,72.0,69.0,69.0,2,3,3000000.0,S. Bastoni (Empoli)
Ó. Estupiñán,Metz,Colombia,Forward,26,72,75,1,68.0,72.0,52.0,68.0,33.0,79.0,3,3,3100000.0,Ó. Estupiñán (Metz)
G. Suazo,Toulouse,Chile,Defender,25,72,75,1,72.0,59.0,67.0,71.0,66.0,75.0,2,3,2900000.0,G. Suazo (Toulouse)
J. Duverne,Nantes,France,Defender,25,72,75,1,59.0,38.0,62.0,69.0,75.0,74.0,3,3,2900000.0,J. Duverne (Nantes)
B. Radunović,Cagliari,Serbia,Goalkeeper,27,72,75,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2300000.0,B. Radunović (Cagliari)
P. Tietz,FC Augsburg,Germany,Forward,25,72,75,1,68.0,72.0,56.0,67.0,33.0,76.0,3,2,3100000.0,P. Tietz (FC Augsburg)
Pol Lirola,Frosinone,Spain,Defender,25,72,75,1,72.0,62.0,69.0,69.0,67.0,69.0,3,3,2900000.0,Pol Lirola (Frosinone)
I. Cardona,FC Augsburg,France,Forward,25,72,75,1,84.0,72.0,66.0,72.0,26.0,62.0,3,3,3100000.0,I. Cardona (FC Augsburg)
F. Ballo-Touré,Fulham,Senegal,Defender,26,72,75,1,83.0,51.0,67.0,71.0,67.0,71.0,2,3,2800000.0,F. Ballo-Touré (Fulham)
T. De Smet,Stade de Reims,Belgium,Defender,25,72,75,1,68.0,52.0,64.0,67.0,68.0,73.0,3,2,2900000.0,T. De Smet (Stade de Reims)
R. Hack,Borussia Mönchengladbach,Germany,Midfielder,24,72,75,1,81.0,65.0,65.0,75.0,33.0,52.0,4,4,3200000.0,R. Hack (Borussia Mönchengladbach)
A. Harroui,Frosinone,Morocco,Midfielder,25,72,75,1,73.0,68.0,70.0,74.0,67.0,75.0,5,3,2800000.0,A. Harroui (Frosinone)
K. Schlotterbeck,VfL Bochum 1848,Germany,Defender,26,72,75,1,53.0,27.0,51.0,54.0,74.0,75.0,3,2,2700000.0,K. Schlotterbeck (VfL Bochum 1848)
V. Shepelev,Dynamo Kyiv,Ukraine,Midfielder,26,72,75,1,64.0,63.0,64.0,69.0,65.0,62.0,3,3,3000000.0,V. Shepelev (Dynamo Kyiv)
S. Nicholson,Clermont,Jamaica,Forward,26,72,75,1,68.0,75.0,58.0,66.0,24.0,77.0,4,3,3100000.0,S. Nicholson (Clermont)
M. Grüll,Rapid Wien,Austria,Midfielder,24,72,75,1,86.0,70.0,65.0,74.0,32.0,67.0,4,4,3200000.0,M. Grüll (Rapid Wien)
J. Justvan,TSG Hoffenheim,Germany,Midfielder,25,72,75,1,84.0,55.0,70.0,74.0,53.0,52.0,3,3,3100000.0,J. Justvan (TSG Hoffenheim)
O. Tymchyk,Dynamo Kyiv,Ukraine,Defender,26,72,75,1,87.0,41.0,64.0,63.0,69.0,53.0,3,2,2800000.0,O. Tymchyk (Dynamo Kyiv)
A. Ismajli,Empoli,Albania,Defender,26,72,75,1,71.0,30.0,49.0,61.0,75.0,66.0,3,2,2700000.0,A. Ismajli (Empoli)
K. Hause,Aston Villa,England,Defender,27,72,74,1,59.0,44.0,58.0,58.0,71.0,74.0,2,2,2500000.0,K. Hause (Aston Villa)
E. Horvath,Nottingham Forest,United States,Goalkeeper,28,72,74,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2000000.0,E. Horvath (Nottingham Forest)
A. Maitland-Niles,Olympique Lyonnais,England,Midfielder,25,72,74,2,77.0,61.0,69.0,73.0,68.0,67.0,3,4,2900000.0,A. Maitland-Niles (Olympique Lyonnais)
David Gil,Cádiz,Spain,Goalkeeper,29,72,74,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1900000.0,David Gil (Cádiz)
M. Caufriez,Clermont,Belgium,Defender,26,72,74,1,56.0,30.0,57.0,56.0,73.0,73.0,3,2,2600000.0,M. Caufriez (Clermont)
I. Radu,AFC Bournemouth,Romania,Goalkeeper,26,72,74,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2200000.0,I. Radu (AFC Bournemouth)
K. Günter,Hellas Verona,Germany,Defender,28,72,73,1,62.0,46.0,60.0,62.0,74.0,69.0,3,2,2200000.0,K. Günter (Hellas Verona)
V. Lazaro,Torino,Austria,Defender,27,72,73,2,74.0,69.0,73.0,74.0,64.0,66.0,3,4,2500000.0,V. Lazaro (Torino)
José Pozo,Rayo Vallecano,Spain,Midfielder,27,72,73,1,73.0,72.0,70.0,74.0,61.0,59.0,4,3,2700000.0,José Pozo (Rayo Vallecano)
O. McBurnie,Sheffield United,Scotland,Forward,27,72,73,1,54.0,71.0,58.0,68.0,33.0,78.0,3,3,2700000.0,O. McBurnie (Sheffield United)
G. Wüthrich,Sturm Graz,Switzerland,Defender,28,72,73,1,48.0,35.0,51.0,53.0,71.0,81.0,3,2,2200000.0,G. Wüthrich (Sturm Graz)
A. Desmas,Le Havre,France,Goalkeeper,29,72,73,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1800000.0,A. Desmas (Le Havre)
M. Pedersen,FC Augsburg,Denmark,Defender,26,72,73,1,83.0,52.0,65.0,73.0,66.0,66.0,3,3,2500000.0,M. Pedersen (FC Augsburg)
José Machín,Monza,Equatorial Guinea,Midfielder,26,72,73,1,64.0,64.0,70.0,72.0,62.0,66.0,3,3,2700000.0,José Machín (Monza)
M. Pereira Lage,Brest,Portugal,Forward,26,72,73,1,71.0,71.0,73.0,73.0,61.0,64.0,3,4,2800000.0,M. Pereira Lage (Brest)
R. Oudin,Lecce,France,Forward,26,72,73,1,70.0,70.0,71.0,73.0,33.0,65.0,3,3,2800000.0,R. Oudin (Lecce)
R. Yaremchuk,Valencia,Ukraine,Forward,27,72,73,1,73.0,71.0,68.0,67.0,44.0,73.0,3,2,2700000.0,R. Yaremchuk (Valencia)
M. Sarkaria,Sturm Graz,Austria,Forward,26,72,73,1,80.0,72.0,71.0,74.0,36.0,71.0,3,3,2800000.0,M. Sarkaria (Sturm Graz)
Antonio Sánchez,Mallorca,Spain,Midfielder,26,72,73,1,74.0,66.0,72.0,71.0,65.0,73.0,3,3,2800000.0,Antonio Sánchez (Mallorca)
J. Leca,Lens,France,Goalkeeper,37,72,72,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,250000.0,J. Leca (Lens)
T. Heaton,Manchester United,England,Goalkeeper,37,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,250000.0,T. Heaton (Manchester United)
A. Ulmer,Salzburg,Austria,Defender,37,72,72,1,67.0,62.0,69.0,72.0,70.0,68.0,3,3,525000.0,A. Ulmer (Salzburg)
D. Randolph,AFC Bournemouth,Republic of Ireland,Goalkeeper,36,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,250000.0,D. Randolph (AFC Bournemouth)
J. Tomkins,Crystal Palace,England,Defender,34,72,72,1,33.0,32.0,56.0,49.0,74.0,65.0,3,2,750000.0,J. Tomkins (Crystal Palace)
V. Mannone,Lille,Italy,Goalkeeper,35,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,250000.0,V. Mannone (Lille)
M. Ritchie,Newcastle United,Scotland,Midfielder,33,72,72,1,58.0,71.0,74.0,74.0,67.0,62.0,4,3,1500000.0,M. Ritchie (Newcastle United)
C. Pinsoglio,Juventus,Italy,Goalkeeper,33,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,750000.0,C. Pinsoglio (Juventus)
Alberto Perea,Granada,Spain,Midfielder,32,72,72,1,71.0,70.0,69.0,76.0,35.0,59.0,3,3,1900000.0,Alberto Perea (Granada)
M. Destro,Empoli,Italy,Forward,32,72,72,2,66.0,73.0,60.0,70.0,29.0,57.0,3,4,1900000.0,M. Destro (Empoli)
Adrián,Liverpool,Spain,Goalkeeper,36,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,250000.0,Adrián (Liverpool)
J. Martin,Brest,France,Midfielder,33,72,72,2,46.0,65.0,74.0,71.0,69.0,68.0,4,3,1200000.0,J. Martin (Brest)
C. Gamboa,VfL Bochum 1848,Costa Rica,Defender,33,72,72,1,87.0,47.0,65.0,71.0,68.0,70.0,2,3,1200000.0,C. Gamboa (VfL Bochum 1848)
E. Rashani,Clermont,Kosovo,Forward,30,72,72,1,80.0,66.0,65.0,72.0,39.0,66.0,4,4,2300000.0,E. Rashani (Clermont)
J. Robinson,Sheffield United,England,Defender,29,72,72,1,69.0,41.0,60.0,61.0,72.0,74.0,3,2,2000000.0,J. Robinson (Sheffield United)
B. Bereszyński,Empoli,Poland,Defender,30,72,72,1,79.0,56.0,64.0,69.0,67.0,73.0,3,3,2000000.0,B. Bereszyński (Empoli)
Pedro Obiang,Sassuolo,Equatorial Guinea,Midfielder,31,72,72,2,53.0,59.0,70.0,70.0,71.0,70.0,3,3,1600000.0,Pedro Obiang (Sassuolo)
M. Esser,VfL Bochum 1848,Germany,Goalkeeper,35,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,250000.0,M. Esser (VfL Bochum 1848)
T. Koubek,FC Augsburg,Czech Republic,Goalkeeper,30,72,72,2,0.0,0.0,0.0,0.0,0.0,0.0,2,1,1600000.0,T. Koubek (FC Augsburg)
M. Badelj,Genoa,Croatia,Midfielder,34,72,72,2,52.0,61.0,71.0,70.0,69.0,72.0,4,3,800000.0,M. Badelj (Genoa)
T. Delaine,Strasbourg,France,Defender,31,72,72,1,81.0,50.0,69.0,71.0,66.0,72.0,5,3,1700000.0,T. Delaine (Strasbourg)
L. Karius,Newcastle United,Germany,Goalkeeper,30,72,72,2,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1600000.0,L. Karius (Newcastle United)
K. Lala,Brest,France,Defender,31,72,72,1,73.0,61.0,71.0,70.0,69.0,71.0,3,3,1700000.0,K. Lala (Brest)
A. Jung,Werder Bremen,Germany,Defender,31,72,72,1,63.0,62.0,66.0,66.0,73.0,77.0,3,3,1700000.0,A. Jung (Werder Bremen)
C. Lykogiannis,Bologna,Greece,Defender,29,72,72,1,81.0,68.0,67.0,67.0,68.0,73.0,3,2,2100000.0,C. Lykogiannis (Bologna)
R. Haps,Genoa,Suriname,Defender,30,72,72,1,85.0,63.0,65.0,73.0,65.0,70.0,3,3,2000000.0,R. Haps (Genoa)
Manquillo,Newcastle United,Spain,Defender,29,72,72,2,63.0,45.0,63.0,71.0,73.0,61.0,3,3,2100000.0,Manquillo (Newcastle United)
Ivan Cavaleiro,Lille,Portugal,Midfielder,29,72,72,1,82.0,70.0,66.0,73.0,37.0,73.0,3,4,2300000.0,Ivan Cavaleiro (Lille)
L. Garritano,Frosinone,Italy,Midfielder,29,72,72,1,86.0,67.0,68.0,74.0,55.0,59.0,3,4,2300000.0,L. Garritano (Frosinone)
S. Michel,FC Augsburg,Germany,Forward,32,72,72,1,72.0,73.0,66.0,74.0,34.0,72.0,3,3,1900000.0,S. Michel (FC Augsburg)
C. Morris,Luton Town,England,Forward,27,72,72,1,75.0,71.0,55.0,67.0,32.0,75.0,4,3,2500000.0,C. Morris (Luton Town)
J. Toljan,Sassuolo,Germany,Defender,28,72,72,2,82.0,42.0,63.0,69.0,65.0,66.0,4,3,2100000.0,J. Toljan (Sassuolo)
D. Sinkgraven,Las Palmas,Netherlands,Defender,27,72,72,2,74.0,60.0,72.0,74.0,68.0,61.0,3,3,2300000.0,D. Sinkgraven (Las Palmas)
G. Haraguchi,VfB Stuttgart,Japan,Midfielder,32,72,72,2,73.0,64.0,70.0,76.0,44.0,51.0,4,4,1900000.0,G. Haraguchi (VfB Stuttgart)
J. Amavi,Brest,France,Defender,29,72,72,1,72.0,61.0,66.0,69.0,69.0,71.0,5,3,2100000.0,J. Amavi (Brest)
N. Gyömbér,Salernitana,Slovakia,Defender,30,72,72,1,58.0,31.0,43.0,50.0,74.0,71.0,3,2,1900000.0,N. Gyömbér (Salernitana)
A. Grassi,Empoli,Italy,Midfielder,28,72,72,1,57.0,63.0,70.0,73.0,67.0,63.0,3,2,2300000.0,A. Grassi (Empoli)
L. Venuti,Lecce,Italy,Defender,28,72,72,1,70.0,26.0,61.0,67.0,68.0,63.0,4,2,2100000.0,L. Venuti (Lecce)
Jaume,Valencia,Spain,Goalkeeper,32,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1200000.0,Jaume (Valencia)
O. Mfulu,Las Palmas,Congo DR,Midfielder,29,72,72,1,76.0,54.0,62.0,69.0,70.0,79.0,3,2,2000000.0,O. Mfulu (Las Palmas)
P. Michorl,LASK Linz,Austria,Midfielder,28,72,72,1,67.0,66.0,75.0,71.0,64.0,67.0,2,3,2300000.0,P. Michorl (LASK Linz)
G. Kyei,Clermont,France,Forward,27,72,72,2,62.0,70.0,54.0,70.0,27.0,80.0,3,3,2500000.0,G. Kyei (Clermont)
Sergi Canós,Valencia,Spain,Midfielder,26,72,72,1,71.0,69.0,69.0,75.0,60.0,69.0,3,3,2600000.0,Sergi Canós (Valencia)
G. Ferrari,Sassuolo,Italy,Defender,31,72,72,1,45.0,28.0,42.0,50.0,73.0,77.0,3,2,1600000.0,G. Ferrari (Sassuolo)
S. Mounié,Brest,Benin,Forward,28,72,72,2,50.0,73.0,63.0,68.0,45.0,79.0,3,2,2400000.0,S. Mounié (Brest)
M. Busch,Heidenheim,Germany,Defender,28,72,72,1,84.0,53.0,62.0,68.0,65.0,75.0,3,2,2100000.0,M. Busch (Heidenheim)
Merquelanz,Real Sociedad,Spain,Forward,28,72,72,1,69.0,75.0,74.0,72.0,45.0,64.0,3,3,2400000.0,Merquelanz (Real Sociedad)
M. Vojvoda,Torino,Kosovo,Midfielder,28,72,72,1,71.0,54.0,72.0,72.0,68.0,70.0,4,3,2400000.0,M. Vojvoda (Torino)
Sergi Guardiola,Cádiz,Spain,Forward,32,72,72,1,70.0,72.0,62.0,72.0,30.0,75.0,2,3,1900000.0,Sergi Guardiola (Cádiz)
G. Pereiro,Cagliari,Uruguay,Midfielder,28,72,72,2,73.0,72.0,71.0,75.0,40.0,68.0,3,3,2400000.0,G. Pereiro (Cagliari)
Sacramentinho,Atlético Mineiro,Brazil,Goalkeeper,39,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,2,1,250000.0,Sacramentinho (Atlético Mineiro)
Heitor Gesse,Atlético Mineiro,Brazil,Defender,27,72,72,1,78.0,55.0,66.0,64.0,69.0,61.0,2,2,2300000.0,Heitor Gesse (Atlético Mineiro)
Túlio Changas,Palmeiras,Brazil,Goalkeeper,27,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1800000.0,Túlio Changas (Palmeiras)
Alam Araújo,Botafogo,Brazil,Defender,31,72,72,1,73.0,51.0,64.0,67.0,72.0,68.0,3,2,1700000.0,Alam Araújo (Botafogo)
Fabiano Sonta,Fluminense,Brazil,Defender,31,72,72,1,46.0,41.0,56.0,53.0,74.0,71.0,3,2,1600000.0,Fabiano Sonta (Fluminense)
Ailton Valpaços,São Paulo,Brazil,Defender,31,72,72,1,64.0,58.0,60.0,63.0,71.0,76.0,3,2,1600000.0,Ailton Valpaços (São Paulo)
Guto Milazar,Flamengo,Brazil,Defender,31,72,72,1,73.0,40.0,61.0,64.0,70.0,58.0,3,2,1700000.0,Guto Milazar (Flamengo)
Tião Couteira,Athletico Paranaense,Brazil,Midfielder,23,72,72,1,74.0,62.0,72.0,74.0,42.0,51.0,4,4,2700000.0,Tião Couteira (Athletico Paranaense)
Kauã Abranches,Fortaleza,Brazil,Midfielder,27,72,72,1,84.0,64.0,67.0,73.0,51.0,62.0,4,3,2500000.0,Kauã Abranches (Fortaleza)
Gustavo Lobateiro,Internacional,Brazil,Midfielder,23,72,72,1,77.0,65.0,68.0,72.0,33.0,61.0,5,3,2700000.0,Gustavo Lobateiro (Internacional)
Evandro Rochedo,Atlético Mineiro,Brazil,Forward,27,72,72,1,55.0,75.0,60.0,70.0,36.0,65.0,4,3,2500000.0,Evandro Rochedo (Atlético Mineiro)
André Milazisco,São Paulo,Brazil,Goalkeeper,27,72,72,1,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1800000.0,André Milazisco (São Paulo)
Alminho Boas,Atlético Mineiro,Brazil,Midfielder,27,72,72,1,60.0,39.0,62.0,66.0,69.0,76.0,3,2,2200000.0,Alminho Boas (Atlético Mineiro)
Flávio Rebeilo,Santos,Brazil,Defender,31,72,72,1,79.0,44.0,61.0,71.0,68.0,61.0,3,3,1700000.0,Flávio Rebeilo (Santos)
Tony Muttinho,Fortaleza,Brazil,Defender,27,72,72,1,69.0,48.0,64.0,64.0,70.0,73.0,3,2,2300000.0,Tony Muttinho (Fortaleza)
Jenaro Kaio,Botafogo,Brazil,Midfielder,39,72,72,1,81.0,71.0,71.0,75.0,44.0,59.0,5,3,750000.0,Jenaro Kaio (Botafogo)
Édundo Oliveira,Bragantino,Brazil,Defender,31,72,72,1,56.0,46.0,59.0,51.0,73.0,75.0,2,2,1600000.0,Édundo Oliveira (Bragantino)
Igor Madinha,São Paulo,Brazil,Midfielder,27,72,72,1,94.0,61.0,63.0,73.0,27.0,58.0,3,3,2500000.0,Igor Madinha (São Paulo)
Timo Triano,Corinthians,Brazil,Midfielder,27,72,72,1,48.0,46.0,67.0,64.0,74.0,67.0,3,2,2200000.0,Timo Triano (Corinthians)
Calegarcinho,Fortaleza,Brazil,Forward,39,72,72,1,66.0,70.0,62.0,65.0,25.0,71.0,3,4,800000.0,Calegarcinho (Fortaleza)
Leordinho Paes,Santos,Brazil,Midfielder,23,72,72,1,69.0,64.0,73.0,73.0,43.0,54.0,3,3,2700000.0,Leordinho Paes (Santos)
Alam Basteirinho,Santos,Brazil,Midfielder,31,72,72,1,62.0,65.0,72.0,73.0,36.0,53.0,4,3,1900000.0,Alam Basteirinho (Santos)
Fábio Melitinho,Fluminense,Brazil,Midfielder,27,72,72,1,46.0,73.0,75.0,75.0,24.0,55.0,5,3,2500000.0,Fábio Melitinho (Fluminense)
Dersan Dinis,Palmeiras,Brazil,Forward,31,72,72,1,78.0,66.0,69.0,67.0,52.0,69.0,3,3,1900000.0,Dersan Dinis (Palmeiras)
Hélton Celanova,Internacional,Brazil,Forward,31,72,72,1,53.0,76.0,60.0,67.0,22.0,73.0,3,3,2000000.0,Hélton Celanova (Internacional)
Gérson Noalha,Palmeiras,Brazil,Forward,31,72,72,1,76.0,76.0,58.0,75.0,31.0,68.0,3,4,2000000.0,Gérson Noalha (Palmeiras)
Jadson Vidigal,Botafogo,Brazil,Forward,31,72,72,1,77.0,76.0,57.0,64.0,23.0,58.0,3,2,2000000.0,Jadson Vidigal (Botafogo)
Vicemte Tófoli,Bragantino,Brazil,Forward,27,72,72,1,79.0,71.0,63.0,75.0,36.0,48.0,2,3,2500000.0,Vicemte Tófoli (Bragantino)
Leandro Vivenço,Bragantino,Brazil,Forward,23,72,72,1,75.0,76.0,59.0,75.0,30.0,61.0,3,3,2700000.0,Leandro Vivenço (Bragantino)
